商品名称,券后价,店铺名称,好评数
olayks.立时 电煮锅家用宿舍多功能小型分体式电炒蒸煮泡面锅小电锅 分体电煮锅 2.5L 带笼,248.8,olayks京东自营官方旗舰店,200
荣事达（Royalstar）破壁机小型家用全自动新款迷你免过滤豆浆机免煮榨汁婴儿辅食料理机 1.8L豆蔻绿语音款【升级16叶刀】RZ-625E,179.0,荣事达优厨专卖店,100
Cmdieip德国凯盟 电陶炉炒菜电磁炉家用小型煮茶火锅旋控3500W大功率电磁灶七环火自由调节火力 黑晶板七环火【配烤盘】,389.0,Cmdieip官方旗舰店,4400
美的小滋味系列快手变频微波炉 云朵系列20L家用小型甜甜圈奶油风百搭复古转盘式一级能效（M2H1）,669.0,美的集团官方旗舰店,400
美的（Midea）便携式烧水壶 不锈钢折叠水壶 旅行出差家用电水壶 养生冲奶电热水壶 学生/办公泡面杯 防空烧火锅 【折叠便携】MK-SH08S102,119.0,美的集团官方旗舰店,200
NICOH 便携咖啡机电动小型迷你研磨一体冲泡简易家用户外随身随行杯美式手冲滴漏充电款现磨磨豆机礼盒 砂金色,870.0,NICOH旗舰店,100
志高（CHIGO）电动脱毛仪私处剃毛器刮毛器美容器 腿毛腋毛私密处脱毛器刮毛刀男女士通用可全身水洗T18,119.0,志高生活电器京东自营旗舰店,40
LGStanbyMEGo 27英寸 便携户外露营旅行箱电视 随行屏 可旋转触摸屏 27LX5QKNA,5498.0,LG京东自营旗舰店,20
RAESHA瑞翼鲨加厚版鼠标垫400*300*4mm游戏电竞鼠标垫 办公鼠标垫高密度细织布面 精密包边防滑可水洗 印象机甲鼠标垫 1张,37.0,RAESHA旗舰店,4
VILTROX 唯卓仕56f1.7大光圈自动对焦人像镜头56mmF1.7适配富士X口尼康Z口 富士x卡口【现货】 52mm,899.0,NiYi Focus卖场店,10
K&F Concept 卓尔可调nd镜减光镜ND2-32滤镜适用于微单反相机适用摄影拍视频镜片ND可调中灰密度镜风光摄影镜 28层镀膜可调ND2-32无十字暗影 67mm,545.0,卓尔官方旗舰店,50
阿尔法蛋词典笔T10Pro翻译笔英语点读笔学习笔单词扫描扫读笔学生电子辞典学习机翻译机中英通用 词典笔T10升级版【咨询客服再减】 32GB,699.0,澳捷智能设备专营店,800
科大讯飞智能录音笔H1Pro B1实时语音转文字同声传译专业高清降噪Ai会议录音转文字翻译机长待机 讯飞智能录音笔B1+定制皮套【套装】,379.0,澳捷智能设备专营店,300
不见不散流浪者D8户外K歌演出蓝牙音箱大功率广场舞家庭ktv高端演艺音响 D8黑色（包+32GU盘+支架）,3750.0,不见不散音响小店,10
山居雪【 华强北顶配Pro2】蓝牙耳机真无线适用苹果ios安卓飙升榜排行前十真无线双入耳式主动降噪运动 顶配Pro2【入耳式】主动降噪,38.0,山居雪官方旗舰店,100
岑迷新款相框13寸/15寸/17寸电子相册高清视频照片播放器 133寸触摸按键,484.2,壹旺数码专营店,0
雷克沙1800X V60 SD卡1TB 数码相机内存卡高速U3 4K高清 微单反SD存储卡大卡 SD卡 1TB + 高速Type-C读卡器,4698.0,雷克沙Lexar旗舰店,0
绿联多合一读卡器USB3.2高速支持CFA/B/SD/TF/CF型相机行车记录仪监控内存卡手机存储卡 USB3.2高速读卡器,324.0,绿联三顺专卖店,20
岑迷适用于 索尼ZV-1 ZV1 Vlog相机包ZVE10 ZV-E10L微单相机1 黑色 +清洁布+清洁毛刷,47.9,壹旺数码专营店,10
miliboo米泊铁塔MTT609A/B专业摄像机三脚架相机含液压云台单反三脚架摄影机微电影视剧综艺直播视频录制 MTT609A(含云台)铝合金,1530.0,miliboo三脚架云台旗舰店,100
文质（EVERLAST） 精选碳性电池5号20粒+7号20粒/5号40粒/7号40粒 低耗玩具遥控器/电子秤挂钟计算器 碳性5号20粒+7号20粒,14.8,中光电池旗舰店,1200
一朵小花小羊皮苹果15手机壳 适用 iPhone15质感保护套男女通用款镜头全包创意贴皮彩绘个性软壳 苹果15【暴富款】赠高清全包膜,18.9,一朵小花官方旗舰店,10
一朵小花 适用于苹果15pro/15promax钢化膜iphone15/14手机膜plus无边高清防指纹防窥全屏覆盖保护膜 苹果15  高清钢化膜【两片装】,8.9,一朵小花官方旗舰店,70
绿联（UGREEN）手机收纳袋 充电宝移动电源保护套袋子 分线器移动硬盘U盘束口绒布袋 绒布袋 大号（19*12cm）,15.9,绿联三顺专卖店,100
BOYA博雅麦克风Omic纽扣无线降噪领夹麦克风一拖二胸麦小蜜蜂 手机直播带货vlog短视频收录音无线话筒,390.59,BOYA京东自营官方旗舰店,500
格力（GREE）空调 京东小家智能生态  云霓 1级能效变频 壁挂式卧室挂机 珊瑚玉色 1.5匹 一级能效 珊瑚玉色,3548.0,格力官方旗舰店,300
TCL超薄零嵌系列456L十字四开门冰箱580mm超薄嵌入式大容量家用冰箱一级变频底部散热R456T9-UQ烟墨蓝,3199.0,TCL京东自营官方旗舰店,27000
小天鹅（LittleSwan）滚筒洗衣机全自动家用【TG100APURE】深层除菌螨 10公斤大容量 排名前十名 以旧换新 超薄 内衣洗,1599.0,小天鹅洗衣机京东自营旗舰店,890000
美的（Midea）电压力锅高压锅4L家用多功能内胆 开盖火锅 电压力锅 电饭煲大容量1-2-3-4-6-8人 E4809,219.0,美的集团官方旗舰店,33000
云米（VIOMI）净水器家用 鲜活泉直饮水 8年RO反渗透 含微量矿物质 0零陈水 不含双酚A 厨房厨下式净水机 大通量 Super 2Y 1200G（终身免费换芯） 斯里卡兰进口竹活性炭丨高分子3N,2589.0,云米净水健康旗舰店,500
岑迷XLR-2RS音频隔离器 卡侬莲花3.5MM解决调音台共地干扰杂音衰减滤,436.7,壹旺数码专营店,0
妙界【可发顺丰】R3【至尊版】颈椎按摩器肩颈按摩仪腰背腿部斜方肌按摩披肩生日节日礼物男女士 R3至尊版【甘泉蓝】,778.0,妙界旗舰店,100
海尔高温蒸汽消毒器消毒盒 婴儿奶瓶消毒带烘干机二合一10L 过滤棉HYG-P01（适用于H01）,99.0,海尔母婴电器旗舰店,3
公牛插座 基础纯白款 多孔长线多功能电插板 总控开关拖线板带儿童保护门/新国标/排插/接线板 【三位总控1.8米】B9120,23.8,公牛电器官方旗舰店,6800
绿联 Type-C转DP1.4 转接头投屏转换器线8K60Hz适用雷电4苹果华为笔记本电脑 【DP1.4版】黑色1.5米 15595,69.0,绿联三顺专卖店,80
ZDX随身wifi内置大容量电池超长续航【0月租免预存】免插卡便携式5G双频WIFI6无限网络全国通用2024款 顶配版MIFI（内置电池超长续航）,15.0,ZDX网络产品旗舰店,40
科大讯飞智能办公本Air Pro 7.8英寸电子书阅读器 墨水屏电纸书会议记录电子笔记 【咨询再减】办公本Air深空灰32G【京8仓】,2699.0,澳捷智能设备专营店,500
美的（Midea）家用空调扇净化加湿冷风扇水冷降温家用塔式冷风扇客厅卧室节能制冷风扇办公省电加湿单冷风机 黑色,319.0,美的集团官方旗舰店,1800
airx气熙 除湿机家用卧室客厅WiFi智能控制抽湿机60升/天 别墅地下室大面积除湿器轻音除湿净化一体机 60L/天 120-180㎡ D6手机APP智控,3919.0,airx生活电器京东自营旗舰店,300
志高（CHIGO）电动理发器理发推子剃头理发器 家用成人儿童婴儿电推剪电推子自理发神器剪发器剃头刀工具全套938,78.0,志高生活电器京东自营旗舰店,14000
康佳（KONKA）侧吸式抽油烟机 家用21m³大吸力 895mm宽屏大尺寸 挥手体感智控 高温自动清洗 CXW-284-KC01C,597.52,康佳（KONKA）厨房电器京东自营旗舰店,36000
康宝（Canbo）118L三层 不锈钢 磐石 消毒柜 嵌入式 家用 碗筷大容量厨房餐具二星高温板架消毒碗柜XDZ110-EN321,1299.0,康宝京东自营旗舰店,27000
短袖衬衫男夏季新款中年男士时尚免烫宽松条纹衬衣 2282蓝灰 180/XXL,118.0,同茂男装店,1
凯逸弗（kainifu）新款短袖T恤男夏季薄款冰丝半袖男款冰感上衣 黑色 2XL,58.0,同茂男装店,0
圆领毛衣男秋季时尚潮流针织衫 灰色 165/80A,108.0,同茂男装店,0
拉拉波波24春季新款休闲可爱小熊长袖衬衫女纯棉开衫破洞上衣LBDA-WSWC12 米白 M,1237.3,LALABOBO旗舰店,0
LALABOBO设计感夏季新款宽松POLO领T恤女休闲高级减龄简约短袖LBCB-WSDT47 粉色 S,439.5,LALABOBO旗舰店,6
拉拉波波设计感多巴胺拼色修身t恤女polo领针织辣妹性感潮短袖LBCA-WSTM11 紫色 S,494.0,LALABOBO旗舰店,0
ubras无尺码小花漾文胸性感内衣女无痕无钢圈胸罩聚拢文胸 蜜桃茶(固定杯) 纤细版(80-100斤)A-B杯,65.0,ubras奥莱官方旗舰店,30
芬腾免穿文胸吊带女自带可拆胸垫无钢圈收副乳防下垂外扩高弹力夏季 白色 XL(115-135斤),39.0,芬腾服饰内衣旗舰店,10
安之伴【安心睡眠】睡衣女夏季薄款短袖套装甜美宽松小清新女士家居服 豆沙 L,59.0,安之伴官方旗舰店,30
欧氧（EURYUMG） 氨基酸洗面奶男女士深层清洁 细致毛孔清爽控油温和洁面乳便携装 50g,9.9,欧氧官方旗舰店,17000
相宜本草【宋轶同款】 红景天莹透幼白精华水150ml（补水保湿 祛斑美白）,77.44,相宜本草京东自营旗舰店,100000
欧莱雅零点霜 复颜玻尿酸面霜 呵护熬夜肌 补水保湿 淡化细纹 七夕礼物 【熬夜党救星】零点霜50ml,259.0,欧莱雅官方旗舰店,9200
RAY补水面膜 蓝色10片/盒  深层补水 净润保湿  日期新鲜 金色+银色+2盒蓝色,99.0,RAY旗舰店,4100
相宜本草 【宋轶同款】红景天莹透幼白淡纹礼盒（保湿补水）七夕,129.0,相宜本草京东自营旗舰店,24000
卡姿兰灵芝菁华粉底液细腻服帖轻盈透气遮瑕保湿持久控油七夕礼物送女友 灵芝菁华03柔沙色（黄调自然肤）,79.0,卡姿兰东尚专卖店,80
卡姿兰腮红 炫亮胭脂腮红裸妆保湿提亮防水 红润修颜持久不易掉色 自然肤色胭脂水粉化妆品 05狂喜南瓜（珠光，黑黄皮适用）,29.0,卡姿兰东尚专卖店,1600
卡姿兰（Carslan）大眼睛活力四色眼影盘哑珠光防水闪粉 懒人显色持妆高光自然修容 #05 痴心可可,69.0,卡姿兰东尚专卖店,100
苏安可（SUAKE） 四叉眉笔女防水防汗速干自然雾眉刷水眉笔【可留言自选2个色号】 5#自然黑(2支装) 1.5g,44.74,品诺美妆店,300
卡姿兰（Carslan）微雕大眼双头睫毛膏防水纤长浓密卷翘不易晕染持妆显色七夕礼物女 精微大眼睫毛膏（第三代）01黑色,159.0,卡姿兰东尚专卖店,700
卡姿兰（Carslan）小红唇口红女 胶原美芯唇膏滋润保湿持久不易粘杯显气色七夕礼物 06#烈火燃红,94.0,卡姿兰东尚专卖店,3100
SWEET COLOR无味环保2024新款指甲油12ml免烤快干持久不可剥夏季流行显白 （无色透明）无味快干亮油,27.0,SWEET COLOR旗舰店,10
申派牛标防盗双肩包男大容量简约多功能高端出差旅游海关密码锁防盗背包男 黑钨钢色密码锁标准版 大包 16英寸,1160.0,申派牛标箱包官方旗舰店,0
沃夫伍德沃尔夫消防用壁挂墙式手电筒火灾疏散宾馆酒店客房巡检应急照明灯 VOFU-01电筒(含充电器+充电电池),88.0,沃夫伍德旗舰店,4
Fishmind日本进口v脸提拉紧致面雕日夜睡眠美容仪套面部绷带头套双下巴法令纹下颚线脸部提升神器 【面料柔软+无痕工艺+睡眠可戴】,248.0,Fishmind海外官方旗舰店,4
艾灸贴艾灸贴艾灸盒艾柱随身灸艾草条 100柱+100底座+100胶圈 1.0cm加粗款,19.0,星腾医疗保健专营店,600
麦德威（medwe）胸腰椎固定支具医用可调节脊椎柱压缩性骨折康复护具腰部腰托护腰带 腰椎【L1-L5】胸椎【T1-T12】固定 M,599.0,麦德威旗舰店,600
医方硕祛湿贴穴位砭贴去除i湿气肚子大穴位砭贴 体湿重下肢浮肿体粗腰圆食欲不振身体困倦皮肤油舌苔厚腻 三盒装,54.9,保元德卖场店,200
麦可莱奇一次性医用外科防护口罩 防晒 舒适亲肤 三层过滤防护 独立包装 泡泡纱耳绳 资质齐全 【成人款】蓝色 50只,14.9,麦可莱奇官方旗舰店,50
鱼咪 叶黄素蓝莓滴眼液眼疲劳眼干涩鱼腥草视力疲劳熬夜眼睛疲劳儿童学生成人,19.9,鱼咪京东自营旗舰店,600
【大药房直售】蜂胶濞通20ml蜂胶鼻通喷剂鼻舒适鼻舒爽外用喷剂 发货1盒装,16.0,邻吉仕大药房旗舰店,1
英氏（Engnice）米粉婴儿高铁米粉米糊辅食宝宝婴幼儿6个月以上罐装 【1阶6月+】第一口选维C加铁 258g,56.8,英氏官方旗舰店,36000
果乐士水果泥多口味混合100g*6 儿童辅养食水果泥宝宝零食营养果蔬泥,40.9,果乐士京东自营旗舰店,100
英氏（Engnice）清清葆 婴幼儿清清宝清火去火宝温和菊花晶 秋月梨膏（山竹刺梨味） 120g 1盒,39.7,英氏官方旗舰店,2700
BABYBELL拉拉裤XL30片（12-17kg）婴儿尿不湿干爽透气尿裤拉拉裤定制尿显,99.0,BABYBELL京东自营旗舰店,800
BGYA伯格亚便携式烧水壶速热旅行电热水壶小型迷你即热饮水机,296.1,BGYA伯格亚京东自营旗舰店,10
艾惟诺（Aveeno）儿童洗发水沐浴露天然燕麦 婴儿洗护二合一宝宝沐浴液 温和无泪 每日倍护洗发沐浴露354ml【25年11月效期】,72.0,Aveeno艾惟诺海外旗舰店,1800
艾惟诺（Aveeno）婴儿润肤乳 天然燕麦补水保湿儿童面霜 宝宝身体乳秋冬滋润护肤 每日倍护润肤乳532ml,129.0,Aveeno艾惟诺海外旗舰店,800
鳄鱼宝宝（CrocoBaby）婴儿草本抑菌洗衣液新生儿童衣物成人内衣裤抑菌柔顺香味持久 婴儿草本抑菌洗衣液【2L装】,44.8,鳄鱼宝宝旗舰店,100
仁和胀气贴婴儿新生儿0-3个月小儿肠胀气贴宝宝肚脐贴脚底贴,39.0,仁和母婴京东自营官方旗舰店,400
鳄鱼宝宝（CrocoBaby）小黄鸭电热蚊香液新生婴儿幼儿童专用驱蚊液插电式非灭蚊无味 蚊香液套盒3液+1器【安睡120晚】,27.9,鳄鱼宝宝旗舰店,20
味滋源 酸辣粉 红薯粉丝麻辣 重庆风味 网红方便速食小吃 酸辣粉  105g/桶  4个,13.9,味滋源小貅专卖店,0
新客家原乡河源连平忠信农家带壳水煮/甜酒/咸干花生新鲜精选红皮多粒500g袋 水煮花生500g/一包包邮,14.8,新客家原乡黄酒旗舰店,30
优形（ishape）鸡胸肉肠常温开袋即食火腿肠低脂代餐口袋鸡胸肉零食追剧健康轻食 原味*5袋+奥尔良*5袋 400g,34.9,优形（ishape）肉制品旗舰店,100
Derenruyu新疆若羌灰枣袋装新枣子煮粥泡水即食 优质新疆 500克（一斤一袋）,14.0,中吉科侨食品店,0
上口佳陈皮糖话梅糖喜糖儿童糖果批发童年小零食批发老式硬糖 360.0g 陈皮糖（约120颗,13.0,中吉科侨食品店,0
明祖牛乳厚切吐司早餐手撕面包代餐休闲零食手撕切片蛋糕点心儿童早餐 牛乳手撕厚切吐司 300g,8.9,明祖旗舰店,20
九阳豆浆经典豆浆粉香甜豆浆高蛋白原味营养早餐 香甜经典豆浆粉250g,12.9,九阳豆浆冲饮旗舰店,60
欢乐家 椰子汁 大瓶装 果肉型植物蛋白饮料 椰奶椰汁 宴席聚餐饮品整箱 椰子汁1L*2瓶,21.9,欢乐家官方旗舰店,11000
Wpc.幾米联名款几米日本遮阳伞太阳伞晴雨两用小巧轻量防紫外线防晒伞 月亮忘记了 801-JM03,139.0,Wpc.旗舰店,70
777指甲刀套装进口指甲剪耳挖指甲锉三七斜口指甲钳修指甲工具包全套 典雅红 3件套 TS-78银,26.95,THREESEVEN777旗舰店,70
VICTOR威克多 羽毛球拍单拍 碳纤维入门进攻型轻量拍TK-HMR L小铁锤球拍 神速3100 A-4U（亮白）已穿线,220.0,VICTOR威克多官方旗舰店,1800
袋鼠真皮钱包男士短款拉链零钱卡包头层软牛皮皮夹驾驶证卡包 黑色,64.0,外红箱包专营店,8
卡拉羊拉杆箱时尚芝士箱男女潮流旅行箱防刮花返乡行李箱 芝士黄丨当日发货 20英寸,339.0,卡拉羊官方旗舰店,40
飞利浦保险柜家用床头柜式 无线充电  智能报警 指纹密码双系统办公保管箱保险箱SBX301简约白,2580.0,飞利浦（PHILIPS）保险柜京东自营旗舰店,800
土鸟(Tubird)防晒面罩骑行装备冰丝夏季防紫外线脖套户外防尘魔术头巾 （冰感防晒0-40°）碧空之恋,134.0,土鸟官方旗舰店,1
荷是享（HE SHI XIANG)广西覃塘特产富硒大米长粒香大米5kg2023晚稻新籼米南方大米10斤,37.8,中国特产·覃塘农特产馆,20
安小离初萃一级物理压榨玉米胚芽油5L+400ml非转基因家用食用玉米油 中粮初萃一级物理压榨玉米胚芽油,154.0,白天食品店,0
知香斋微辣正宗五仁酱丁萝卜干大瓶装即食开味下饭菜罗卜丁酱菜下饭下酒 五仁酱丁400g*1瓶装,8.75,知香斋官方旗舰店,9
味滋源焦糖饼干 早餐糕点零食饼干 焦糖味曲奇饼干 焦糖饼干500g/箱 1箱,12.9,味滋源小貅专卖店,80
博益特痔疮膏孕妇痔疮膏专用爱定宁药监备案肛裂伤口愈合凝胶肉球便血内痔外痔混合痔肛门护理膏无味3支装,72.1,博益特（BIOTEMED）京东自营旗舰店,4900
阿猫顿护照夹旅行证件收纳包护照保护套防盗机票夹出国留学便携护照钱包 公主粉,15.81,蓝头鱼渔具旗舰店,100
【官方正版】李自成 全10册 姚雪垠 茅盾文学奖获奖作品全集 第一届茅奖 人民文学出版社 李自成 全10册,165.0,南岸书香图书专营店,2
【官方正版】西游众生谱+封神群仙榜（附邮票、主题画、藏书票）神话中国李云中西游封神函套 西游众生谱+封神群仙榜,227.0,南岸书香图书专营店,2
【官方正版】四大名著有声版 全套8册 经典原著无删减完整版 全文演播音频扫码即 人民文学出版社 四大名著有声版 全套8册（音频+扫码听书）,208.0,南岸书香图书专营店,4
【官方正版】麦卡托如是说 麻耶雄嵩 日本推理书作家 以崩坏著名的日本推理作家麻耶雄嵩 恶德侦探麦卡托鲇 美袋 反推理小说书籍 有翼之暗独眼少女 人民文学出版社 麦卡托如是说 麻耶雄嵩著（日）,30.0,南岸书香图书专营店,1
庆余年漫画版全4册 猫腻封神之作 官方授权漫画本 张若昀李沁主演电视剧原著小说 购书限免畅听多版有声小说 庆余年漫画1-4册全套 庆余年漫画版全4册,118.0,南岸书香图书专营店,2
【官方正版 多套餐可选】原著茅盾文学奖获奖作品全8册 秦腔贾平凹+钟鼓楼刘心武+芙蓉镇古华+浴血罗霄+长恨歌王安忆+额尔古纳河右岸迟子建等 人民文学出版社名著小说 【全8册】茅盾文学奖获奖作品,164.0,南岸书香图书专营店,2
【官方正版 多套餐可选】张居正 全4册 熊召政著 第六届茅盾文学奖获奖作品 茅盾文学奖获奖作品第一届至第十届人民文学出版社 全4册：张居正-熊召政著（茅盾文学奖作品）,67.3,南岸书香图书专营店,10
【官方正版】野葫芦引全套4册：南渡记+东藏记+西征记+北归记 宗璞作品 第六届茅盾文学奖获奖作品 人民文学出版社 野葫芦引全套4册：南渡记+东藏记+西征记+北归记,67.0,南岸书香图书专营店,3
【官方正版 赠定制藏书票】鲁迅文集文库本（全6册）磨铁 专供1张金句贴纸+珂勒惠支版画藏书票6张随书赠品 全6册：鲁迅文集文库本（赠定制藏书票）,60.0,南岸书香图书专营店,3
【官方正版 三面刷边款】纪伯伦全集 布脊精装 全七册（阿拉伯文直译全本） 纪伯伦全集 布脊精装三面刷边款 全七册,227.0,南岸书香图书专营店,1
【官方正版】李娟经典作品合集 全8册 冬牧场/遥远的向日葵地/我的阿勒泰/记一忘三二/羊道三部曲/火车快开 （穿过旷野去阿勒泰，李娟散文代表作） 李娟经典作品合集 全8册,227.0,南岸书香图书专营店,2
【官方正版 锁线精装】宋词鉴赏辞典 全2册 图文修订版 中国古诗词 诗词古典赏析大全集 名句荟萃 全2册：宋词鉴赏辞典（锁线精装 图文修订版）,51.4,南岸书香图书专营店,2
【官方正版】德伯家的苔丝 托马斯·哈代著 网格本人文社外国文学名著丛书 人民文学出版社 中小学生课外阅读书目世界名著外国文学小说 网格本：德伯家的苔丝 德伯家的苔丝,33.5,南岸书香图书专营店,2
【官方正版】最美中国画——流转千年的东方审美 有书至美 中国艺术珍藏画册 传世珍藏 博物馆级原作清复刻 最美敦煌,738.0,南岸书香图书专营店,2
【官方正版 现货速发】哈利波特全彩绘本版 哈利波特与魔法石+密室+阿兹卡班囚徒+火焰杯+哈利·波特与凤凰社 全彩绘本儿童文学漫画小说 人民文学出版社 全4册：哈利波特全彩绘本（平装版）,220.0,南岸书香图书专营店,5
小鸡球球触感玩具书 成长绘本系列全5册 点读版 叽叽叽你好立体触摸发声洞洞认知鸡宝宝的故事婴儿启蒙0-2-3岁,105.0,海豚传媒官方旗舰店,11000
【官方正版】少年中国行 写给儿童的中国地理 中国地理通识课 套装全6册童书节儿童节 [7-10岁] 少年中国行 全6册,32.5,南岸书香图书专营店,4
【官方正版】新版 漫画黄帝内经 上下册 全2册 马寅中著十二时辰二十四节气养生智慧白话文中医八大名著之一养生图解皇入门书籍JST 漫画黄帝内经 上下册,63.0,南岸书香图书专营店,2
【官方正版】灌篮高手漫画书全套31册鞋盒版2020新版礼盒珍藏版正版 井上雄彦 新书【鞋盒版+明信片】(含全国大赛篇) 灌篮高手漫画书 全套31册 (含全国大赛篇),465.0,南岸书香图书专营店,4
【官方正版 线装书局】资治通鉴全套20册原版无删减版文白对照注释译文白话全集司马光史记资质古籍历史国学经典线装书局 资治通鉴20册,323.0,南岸书香图书专营店,3
【官方正版】DK时间线上的全球史 全家共读的家庭藏书 1500个历史事件 1000幅精美文物图片 浓缩400万年历史 英国DK公司出品 中信出版社 DK时间线上的全球史（咨询客服到手价138）,167.0,南岸书香图书专营店,8
【官方正版 红盒装】话说中国系列经典套装 共38册 中国出版界经典文化巨制 学生青少年版彩图中国历史通史上下五 话说中国系列经典套装 共38册,249.0,南岸书香图书专营店,1
【官方正版】古代中国百家谈三册全套 朝起朝落+天下有治+自古繁华《北京日报理论周刊》文史版文章集 全三册：古代中国百家谈,62.9,南岸书香图书专营店,4
【官方正版-樊登推荐】史记全9册 全本全注全译 布脊精装 司马迁著完整版全本无删减 文白对照 岳麓书社中国史中国历史中国通史书籍 【全本全注全译-布脊精装】史记全9册,238.0,南岸书香图书专营店,3
【官方正版】明朝那些事儿全套9册正版 全集2021新增补版 中国通史历史 毛佩琦 吴思 马未都推荐 明朝历史书籍 明朝那些事儿 全套9册,259.35,南岸书香图书专营店,10
【官方正版】增广汇校三命通会全3册 明万民英撰 正版四库存目子平汇刊9 方成竹点校 古代命理著作 增广汇校三命通会 全3册,94.0,南岸书香图书专营店,2
【官方正版 皮面烫金精装】全6册 道德经全解 老子全本全注全译全书 国学经典白话全解道家哲学书籍 全6册：道德经全解（皮面烫金精装）,53.8,南岸书香图书专营店,2
【官方正版】毛泽东与蒋介石：中国命运的历史抉择 叶永烈 天地出版社 人物传记党建读物党政历史图书籍 2023新版 毛泽东与蒋介石,35.4,南岸书香图书专营店,3
