商品名称,券后价,店铺名称,好评数
优理氏烟酰胺面膜女长效深层补水保湿滋润提亮肤色熬夜气淡化痘印官方 烟酰胺面膜20片,29.0,优理氏官方旗舰店,400
炊大皇（COOKER KING）锅铲硅胶锅铲耐高温煎锅铲不粘锅炒锅平底锅炒菜铲子 硅胶铲,8.9,炊大皇厨房配件旗舰店,500
鞋刷子家用耐用多功能软毛刷鞋洗鞋神器洗衣刷不伤鞋不掉毛清洁刷 【刷鞋】 3把装,9.9,柚萝家居用品店,10
创口贴弹性布创可贴透气止血贴擦伤防磨脚脚跟家用轻巧便携 创口贴100贴,9.9,李夫人个护卖场店,300
格瑞仕（grcez） 直液笔速干笔签字笔0.5mm大容量全针管中性笔商务办公学生水笔走珠笔 【体验装】黑色6支,2.8,酷妮文具专营店,500
海伊朵夏日可爱风糖果色无痕夹泫雅风彩色发夹高级侧边夹碎发神器一字夹 7#奶咖色三件套,4.88,海伊朵时尚饰品旗舰店,200
草原红太阳火锅底料208g麻辣清油火锅料黄番茄骨汤菌汤微辣火锅底料 【麻辣过瘾】麻辣清油208g,9.9,草原红太阳食品官方旗舰店,700
欧孕（OUYUN）宝宝春夏季抖抖裤薄款透气裤子儿童休闲长裤冰感灯笼裤防蚊裤春季 薄荷绿 90码,19.9,欧孕官方旗舰店,300
西玛易嘉 垃圾桶大号压圈家用客厅厨房卫生间塑料大容量方形加厚垃圾篓 【100只厨房特厚款】粉色垃圾袋,7.89,西玛易嘉家居生活旗舰店,3100
惠寻软毛护龈牙刷 成人牙刷家庭装 软毛护龈牙刷 6支,3.9,惠寻口腔护理美叶专卖店,9200
小熊（Bear）恒温水壶恒温壶婴儿调奶器奶瓶冲泡奶粉机电热烧水壶温奶器养生壶 TNQ-D12Z9 1.2L 柔光小夜灯,150.0,小熊官方旗舰店,1500
"骆驼（CAMEL）行侠硬壳单层冲锋衣户外登山服防风防水防污时尚休闲风衣外套 A34BA6B001,幻影黑,男女同款 XXL",579.0,骆驼CAMEL官方旗舰店,300
适用苹果安卓三星华为手机线控耳机立体声oppo耳机type c入耳式 白色-经典【裸机】马卡龙,9.8,秋帕拼购店,0
舒一之星汽车玻璃水冬季零下防冻去油膜去虫胶车用镀晶雨刮水清洁剂4大桶 -15℃ 1.2L * 4瓶,8.9,舒一之星官方旗舰店,60
邦卡特（bangkate）鞋厂专用强力树脂胶修鞋匠粘鞋开胶运动鞋皮鞋防水沾鞋补鞋专用胶 1007型号胶水 2支装,8.77,永耐特官方旗舰店,11000
果壳（Gukoo）睡衣女加厚款320g冬开衫简约珊瑚绒保暖可外穿家居服套装女D 奶油白女套 L,109.0,果壳旗舰店,40
乌江 小脆口榨菜萝卜组合22g*20袋   脆口榨菜萝卜(萝卜榨菜各10袋）,11.9,乌江官方旗舰店,5200
OhSunny防晒帽户外防紫外线遮阳帽透气护脸帽子 浅沥灰,39.0,OhSunny官方旗舰店,50
沁菲颜柔顺洗发水香氛清爽顺滑飘逸头皮油腻清洁花香焗油烫染洗护男女 柔顺洗发水 500ml 2瓶,19.9,尧先个护专营店,300
云南白药牙膏全家福套装6支装共615克 薄荷留兰清新口气 1盒装,176.0,云南白药大药房旗舰店,600
银丝抹布替代钢丝球不沾油速干多用途刷锅碗灶台除垢网格银丝抹布 20*20CM银丝款3片装 【加厚款】,3.7,短云护理旗舰店,20
欧金1TB高速内存卡手机通用TF卡行车记录仪监控microSD卡MP3存储卡 128GB高速内存卡+SD卡套+读卡器,18.9,官赢数码经营部,30
圣佰魅二硫化硒洗发水去屑洗发露控油舒缓头皮屑清爽蓬松男女士通用 二硫化硒去屑洗发水 300ml 1瓶,9.9,洁漓个护专营店,500
美的（Midea）空调挂机 静新风 新一级能效变频冷暖 节能省电 新风空调 智能新风系统 净化空气 1.5匹 一级能效 静新风,3098.0,美的集团官方旗舰店,1000
收纳袋保鲜袋点断式连卷袋1 超市保鲜袋手撕袋超市加厚连 保鲜袋 2桶600S,14.9,木清清旗靓店,0
美的（Midea）七叶轻音电风扇 家用风扇 落地扇 立式节能摇头宿舍电扇 强风降温循环柔风自然风桌面小风扇 【35cm基础款】 台地两用大网罩 强劲动力,478.0,美的智慧生活官方旗舰店,7100
纳鸣桌面收纳盒玩具零食整理筐衣柜客厅家用杂物收纳箱塑料置物箱子 【4个装】高款中号,27.9,纳鸣旗舰店,700
吃欢天荞麦面皮麻酱干拌凉皮凉面速食主食代餐红油面皮擀面皮 面皮酸辣味5袋,9.9,吃欢天食品专卖店,10
水焕玑黄帽防晒霜SPF50+PA+++女学生军训户外面部清爽水润防晒露男女 小黄防晒乳50ml*1盒,9.9,媛后个护专营店,100
织梦原木手帕纸巾便携压花小包餐巾纸巾面巾纸3层6片 10包,8.6,恒量拼购店,4
三胖蛋经典原味大瓜子180克罐装葵花籽休闲食品炒货 办公室零食 ,28.8,三胖蛋京东自营旗舰店,140000
ehmznv紫草膏孕妇宝宝止舒痒膏专用儿童蚊虫子叮咬舒缓防护消包肿清凉膏 8g 3支 植萃舒痒紫草膏,9.9,尧先个护专营店,100
一次性内裤女纯棉无菌旅行出差短裤便携孕妇产后月子免洗日抛裤 10条装,15.9,欧羽生活馆店,50
科虎适用荣耀9 12.1英寸平板保护套荣耀v8pro透明带笔槽HEY2-w09全包电脑软壳 嫩绿色【三折款透明笔槽】 荣耀平板9 12.1英寸,21.9,科虎官方旗舰店,20
帮宝适黑金帮纸尿裤NB54片(≤5kg) 尿裤尿不湿新生儿 婴儿蚕丝超薄透气,115.13,帮宝适京东自营官方旗舰店,130000
京东京造男士控油洁面乳50g 油皮控油改善黑头净澈清洁氨基酸皂基洗面奶,9.9,京东京造自营官方旗舰店,53000
毕亚兹【全网低价 买贵双倍赔】七夕55H续航蓝牙耳机开放式骨传导概念运动跑步通话降噪适用苹果华为小米,139.0,BIAZE影音京东自营旗舰店,130000
韩美臣抽式洗脸巾加厚珍珠纹卸妆棉柔擦脸洗面巾洁面巾干湿两用家用毛巾 厚款 300抽 【店长推荐】6大包,19.9,韩美臣化妆品专营店,100
硫磺皂香皂清洁控油肥皂 硫磺香皂*2块,2.9,心米星医疗器械旗舰店,600
煜和堂药业医用退热贴儿童婴儿发烧发热物理降温冰凉贴婴幼儿物理退烧成人降温贴冰宝贴 1盒装（4贴）,9.8,煜和堂旗舰店,12000
布比（Boo Bee）婴儿定型枕头纠正头型枕新生儿宝宝安抚枕0到6个月-1岁搂睡觉神器 樱花粉(双面可用）,18.9,布比母婴官方旗舰店,70
100年润发洗发水羽感轻盈男女士养护发氨基酸洗发露液头水膏百年润发550ml,41.9,纳爱斯 京东自营旗舰店,15000
牙珍佰酵素牙膏小苏打牙齿洁白清新口气减少牙渍牙垢清洁牙龈亮白 小苏打薄荷炫白牙膏 120g 2支,6.9,尧先个护专营店,9800
和府捞面草本浓汤 鲜煮捞面 牛肉面速食方便面4袋cp 新老包装随机发货 (全口味) 2酸辣+1草本+1番茄,69.9,和府捞面官方旗舰店,100
UNICHI海盐养发小熊软糖60粒teddilab软糖生物素锌泛酸复合维生素0糖护发养发内服澳洲进口,168.0,Unichi海外京东自营旗舰店,6700
双鲸 悦而 维生素D滴剂 每粒含维生素d3 400单位*24粒 预防维D缺乏性佝偻病，预防骨质疏松,26.0,京东大药房,62000
舒比奇（Suitsky）透气薄敏感肌拉拉裤新生儿超薄柔软成长裤婴儿尿不湿国产尿裤 拉拉裤xxxl码26片【17KG以上】,46.9,舒比奇官方旗舰店,6900
朵壳海盐抑菌除臭豆腐混合猫砂防臭低尘混合膨润土可冲厕所实惠装T 1包【觅能】豆腐混合猫砂,9.9,因宠宠物生活专营店,40
百肆  小米平板6保护套小米平板6pro保护壳2023新款11英寸磁吸旋转全包防摔双面夹带笔槽 【天空蓝】智能双面夹—720°无死角吸附 小米6 / 小米6pro【11寸】,68.0,百肆旗舰店,300
金沙古100年传奇酒柔派酱香  53度酱香型白酒 年礼盒 53度 500mL 2盒,99.8,怡酒荟友旗舰店,40
京东京造苹果木烟熏培根200g*5  烧烤披萨培根 手抓饼搭档早餐食材培根片 ,39.9,京东京造自营官方旗舰店,24000
皇家小虎番茄沙拉沙司组合寿司专用手抓饼酱挤压瓶家用蕃茄甜辣酱 【3瓶】番茄1+沙拉酱1+甜辣酱1,9.9,皇家小虎旗舰店,600
浦利顿(PLODON)婴儿辅食机多功能辅食料理机 白5 小白熊辅食机双杯 8叶刀头 防飞溅,159.0,浦利顿婴童电器旗舰店,900
BGYA伯格亚便携式烧水壶桌面即热式饮水机出差旅行速热电热水壶,224.1,BGYA伯格亚京东自营旗舰店,10
德贝迪汽车玻璃油膜擦去除强力去前挡侧窗后视镜污镀膜镀晶去污 2个玻璃油膜擦 + 50ml 2瓶 补充液,35.9,拾壹馆经营部,10
帮宝适黑金帮纸尿裤S46片(4-8kg)尿裤尿不湿新生儿 婴儿 蚕丝超薄透气,115.13,帮宝适京东自营官方旗舰店,130000
QISE维生素E乳高保湿滋润嫩肤面部擦脸清爽不粘乳液按压式男女通用 维生素E乳 100ml x3瓶,9.9,洁漓个护专营店,300
依莲妃【精选】小星星项链闺蜜女学生i轻奢小众简约镂空双星锁骨链 灵动小星星项链,8.0,觉然日用店,1
洁饶20条抹布 20条抹布,9.9,洁饶旗舰店,600
理肤泉理肤泉防晒大哥大400 户外军训高倍防水防汗清爽抗光老防晒乳50ml 大哥大50ml,129.0,理肤泉海外旗舰店,500
喔喔（WOWO）猫粮成猫 全价无谷冻干生骨肉全价猫粮 富含IgY黄金蛋白 美毛滋养 【试吃】150g,8.82,WOWO官方旗舰店,1300
乐纯超纯发酵乳原生高钙4.0g蛋白0蔗糖0添加 300g*4桶,39.0,乐纯官方旗舰店,40
帮宝适清新帮拉拉裤XXL28片(15kg以上)尿不湿尿裤 超薄透气 干爽 ,72.91,帮宝适京东自营官方旗舰店,190000
老鼎丰月饼礼盒中秋礼品月饼大礼包酥皮中华老字号糕点中秋礼盒 【福气满满】6饼6味 330g,39.9,老鼎丰官方旗舰店,300
京东京造【冰肌凉感】5A抗菌凉感男士内裤男平角裤冰丝3条装组合4 XL,39.9,京东京造自营官方旗舰店,12000
汤姆小屋Toms2岁以上3-6岁草莓味儿童牙膏含氟抑菌防蛀固齿不辣口144g,53.6,汤姆小屋京东自营旗舰店,16000
罗伯克轻上生椰汁丝绒拿铁即饮咖啡男女学生熬夜丝滑奶咖饮料 低糖生榨椰汁245ml*3瓶,9.9,罗伯克饮品官方旗舰店,200
三只松鼠麻辣味蜀香牛肉 休闲零食家庭礼盒牛肉干肉脯手撕牛肉量贩装400g,34.9,三只松鼠京东自营旗舰店,0
京东京造 乳清蛋白粉600g 进口纯天然奶源补充蛋白质营养品成人中老年,139.0,京东京造自营官方旗舰店,49000
雅兰仕桌面小风扇usb可充电台式风扇小型办公室学生宿舍家用户外便携移动大风力静音落地手持电风扇 充电款白【4000毫安+四档风力+轻音低噪】,35.9,瑞嘉玺居家日用专营店,50
Panasonic 松下1号大号D型碳性干电池 1.5V 燃气灶/热水器/荧光棒用 2粒装,6.8,爱乐普数码专营店,800
美的（Midea）电饭煲电饭锅家用商用柴火饭多功能内胆小型迷你煮饭2-3-4-5-8人大容量 0涂层316L不锈钢可选 行业TOP高性价比 | 3升6大智能菜单 3L,199.0,美的厨房小电京东自营旗舰店,20000
安多福0.5%PVP-I消毒液 碘伏碘酒碘酊无酒精伤口杀菌抗菌防感染烧烫刀伤 超便携 | 30毫升3瓶,18.8,安多福消毒产品专营店,800
京东京造【运动拖】拖鞋男外穿运动拖鞋厚底软弹家居凉拖鞋石灰白42-43,39.9,京东京造自营官方旗舰店,4400
帕美顿2-6人家庭碗筷套装碗碟碗盘 陶瓷餐具一套菜盘子碗套装家用 纯白 2碗2盘2勺2筷2面碗,34.0,帕美顿厨具旗舰店,30
宝乐安酪酸梭菌活菌散 0.5g*18袋/盒急慢性腹泻肠道菌群紊乱,54.7,东海药业京东自营官方旗舰店,500
蕉下（beneunder）打底裤女鲨鱼裤户外运动裤夏季防晒透短裤高腰收腹 户外裤/漫暮黑 160/90(M),69.0,蕉下官方旗舰店,0
雅沐思无芯卷纸整箱小卷纸巾5层加厚厕纸批发无芯卫生纸 2提24卷【竹浆】,6.9,拓尔清洁专营店,20
chongsukei睡袋 双人睡袋冬季睡袋 隔脏睡袋大人情侣户外露营野营四季通用款 蓝鼠草色1.25kg{左右拼接定做}1.3kg{2,397.76,鸿进服饰卖场店,0
倍轻松（breo）N6mini【金推手】颈椎按摩器按摩披肩肩颈按摩器斜方肌腿腰颈部按摩仪器  送男女友七夕情人节礼物,659.0,倍轻松京东自营旗舰店,25000
安居先森“我家有个宇航员”新疆长绒棉刺绣毛巾1条颜色随机发 随机颜色 1条,5.7,安居先森官方旗舰店,200
佰束玫瑰香氛花瓣沐浴露深层清洁持久留香清爽滋润男女士大容量沐浴液 玫瑰花瓣沐浴露X 500ml 1瓶,7.9,尧先个护专营店,200
贵州遵义正宗农家干辣椒特产干辣椒香辣特辣火锅炒菜干辣椒朝天椒 香辣 250g 【半斤】,17.8,黔味香特产店,20
狮王（Lion）狮王泡沫洗手液 洗手液99%纯净保湿成分呵护肌肤 爽肤香洗手液200ml*4袋,34.8,狮王个护旗舰店,200
QZEE袖套外出旅游男女冰丝防晒套袖冰袖防晒学生韩版 棕色【连拇指款】,9.8,翰岑拼购店,0
网易严选可扩容40%拉杆箱PC行李箱可扩展青春旅行箱便携磨砂防刮抗摔学生 羽白色 20英寸 可扩容至22寸,279.0,网易严选官方旗舰店,30
卡乐优（Coloyou）超轻粘土24色彩泥无毒儿童手工玩具黏土礼盒装黏土大包生日礼物 24色糖果包,9.9,卡乐优旗舰店,1600
韩束红蛮腰1.0水乳霜3件套 紧致水乳套装护肤品套装七夕情人节礼物,259.0,KANS韩束京东自营旗舰店,110000
乐乐鱼（leleyu）儿童照相机可拍照可打印玩具数码拍立得男女孩生日礼物64G粉兔,159.0,乐乐鱼（leleyu）玩具京东自营旗舰店,1200
驰誉车玩 电动水枪大容量户外儿童高压滋水枪戏水玩具男女孩打水仗装备,59.9,驰誉车玩京东自营旗舰店,100
海尔（Haier）482升和景594mm专业超薄零嵌法式多门四开门家用电冰箱一级能效变频除菌嵌入式BCD-482WGHFDB9SYU1,5199.0,海尔京东自营旗舰店,20
君臣乐西梅干自然风干大果西梅新疆特产网红零食大果西梅干 40包,15.9,融兆休闲食品专营店,200
物藏堂 | 神安静深 安神中药材香囊香包薰衣草睡眠端午节香囊 大号+3个替换芯 神安静深,42.8,物藏堂官方旗舰店,900
阿一波速食免煮紫菜虾皮汤4.5g*20味增汤料包方便早餐冲泡裙带菜速食汤 紫菜虾皮汤4.5g*20包,9.9,阿一波旗舰店,300
东北大板 喜欢你系列冰淇淋 雪糕 冰棍 冰激凌 生鲜 批发 喜欢你系列40支,99.0,东北大板冰淇淋官方旗舰店,800
京东京造 轻户外运动裤  春秋款 透气高弹 速干休闲长裤男 黑色 3XL,149.0,京东京造自营官方旗舰店,1700
老管家衣物除菌液内衣袜子婴儿衣服消毒杀菌水宿舍洗衣机消毒除菌剂 1瓶,18.8,老管家官方旗舰店,400
洋臣厨房油烟机吸油棉过滤纸垫侧吸式油烟机油盒油槽吸油棉吸油无纺布 【20条】蓝膜升级90x10CM*2包,9.9,东峪日用专营店,5
骁将（XIAOJIANG）  适配科沃斯扫地机器人配件T9 T8 POWER/N8 Pro滤芯边刷滚刷一次性抹布强拖布滤网尘盒电池耗材 30片除菌湿抹布,42.0,骁将（XIAOJIANG）通博专卖店,2900
神机喵喵汽车华容道儿童玩具移车出库极速突围益智桌面游戏动脑生日礼物 突破未来城-220关,89.9,神机喵喵旗舰店,40
皖之鲜香菇牛肉酱 拌饭酱 不辣下饭菜调味酱佐餐拌面拌饭菜家用菌菇酱料 香菇牛肉酱1瓶+鲜椒牛肉酱1瓶,12.9,皖之鲜旗舰店,200
chongsukei铝框拉杆箱结婚行李箱女新娘陪嫁箱红色旅行箱婚庆嫁妆密码箱大红 中国红 20寸,409.5,鸿进服饰卖场店,0
防水创可贴舒适透气弹力 粘贴性好撕下无痕 儿童成人创口贴 【防水速干】液体创口贴1瓶10ml,9.9,金士达旗舰店,200
达克宁盐酸特比萘芬喷雾剂15ml脚气药止痒脱皮烂脚丫真菌感染止痒脚气喷剂脚臭喷雾脚气药.脚臭.脚出汗.水泡,20.9,京东大药房,81000
花园新疆牧场纯牛奶200克*10盒*5箱装,110.0,花园食品官方旗舰店,100
vnxifm花洞洞鞋鞋花配饰鞋花crocs鞋上装饰扣品卡通智必星公仔鞋贴配件 套餐二,16.0,vnxifm鞋靴旗舰店,70
朵壳海盐抑菌除臭豆腐混合猫砂防臭低尘混合膨润土可冲厕所实惠装 1袋【98%除臭】豆腐混合猫砂,9.9,因宠宠物生活专营店,30
"佰束毛囊清洁洗发水头屑头痒可用蓬松清爽洗发露护发洗头膏男女士通用 毛囊清洁洗发水500ml/瓶,",9.9,亦创个护专营店,600
羽克（Yuke）儿童泳衣男童2024新款分体游泳衣中大童男孩宝宝青少年泳裤套装夏 天蓝色 【双层泳裤】 4XL码【建议身高140—150cm】,56.9,韩启运动户外专营店,10
按动中性笔0.5mm黑色碳素笔考试笔签字笔 按动笔8支+笔芯20支【黑色】,9.9,麦梗办公专营店,0
一步到家热水器维修上门服务 同城上门检测维修空气壁太阳能燃气点用热水器微波炉饮水机电饭煲家电维修 净水器/直饮机维修,2.9,一步到家官方旗舰店,600
防晒面罩女夏季轻薄透气户外开车遮阳冰丝防晒口罩护眼角男女通用防晒神器 【1只装颜色随机】升级透气防晒口罩,5.9,安仕邦医疗保健专营店,300
飞智冰原狼2 多模版无线游戏手柄 类xbox霍尔线性扳机switch电脑PC手机steam体感NS绝区零黑神话悟空,185.0,飞智京东自营旗舰店,21000
星星舟儿童拼图0-3岁宝宝入门级早教玩具3到6岁幼儿启蒙生日礼物 【全套6盒】/共30张图案,17.5,星星舟旗舰店,60
吉品到黄冰糖小粒云南甘蔗老冰糖单晶土冰糖手工家 黄冰糖 2罐*250g,13.9,李家铺子食品专营店,10
奔肯超六类网线千兆高速CAT6类家用网络连接线超6类电脑宽带监控路由器跳线10米/20米超长成品网线 6类千兆网线【带水晶头】-白色 10米,17.8,睿祺手机通讯专营店,5400
摩尔（MOYEE） 韩版情侣防水手表女商务超薄时尚潮流全自动石英机械表夜光女士 9084L玫白色夜光款,178.0,宏利莱钟表专营店,18000
吉士丁儿童奶酪棒 休闲高钙营养常温储存零食40支 原味20支+混合水果味20支 720g,39.9,吉士丁官方旗舰店,40
兰思诺（LANSINOH）储奶袋母乳储存袋冷藏保鲜存奶袋120ml一次性母乳袋100片,89.0,兰思诺Lansinoh京东自营旗舰店,130000
艾美特（AIRMATE）七叶家用遥控电风扇7档大风量空气循环摇头立式落地扇节能轻音柔风预约定时落地式风扇 CS35-R19,149.0,艾美特京东自营官方旗舰店,390000
速比涛（Speedo）Fit泳感健身 柔软速干 抗氯及膝泳裤男 810828B377 黑/蓝 38,438.72,速比涛Speedo京东自营旗舰店,1600
柔丫（rouya）纸尿裤试用装男女宝宝通用尿裤超薄干爽尿不湿防侧漏夜用环腰裤 蚕丝柔纸尿裤S码12片,6.9,柔丫(rouya)母婴旗舰店,500
云南西双版纳香糯拇指小玉米新鲜手指嫩糯玉米真空装黏玉米棒 500g,21.14,白泽生鲜店,700
三得利 沁葡水 白葡萄味饮料 蜂蜜水 550ml*15瓶整箱装,56.95,三得利（Suntory）京东自营旗舰店,210000
爱肤佳（aifujia） 厨房湿巾清洁去油去污家用湿纸巾加大厨房用纸一次性抹布 50抽*3包(200*180mm),9.9,爱肤佳官方旗舰店,1200
杜蕾斯durex 避孕套玻尿酸安全套 精选组合共46只含赠 润滑情趣套套成人计生性用品男女专用女 戴 囤货套装,104.9,杜蕾斯旗舰店,400000
NTBF新款美式休闲男女健身男肌肉运动五分裤潮沙滩裤网眼透气短裤 白底咖啡色 L,29.9,NTBF潮服工作室,5
钙尔奇 钙片儿童 钙铁锌铜VD3 儿童钙 补锌增高钙片 儿童补钙片 维生素D3 宝宝钙铁锌铜咀嚼片4-10岁80片*2瓶,199.0,善存钙尔奇京东自营旗舰店,140000
网易严选可扩容40%拉杆箱PC行李箱可扩展青春旅行箱便携磨砂防刮抗摔学生 桃粉色 20英寸 可扩容至22寸,279.0,网易严选官方旗舰店,30
粮源阁 牛奶馒头 儿童牛乳馒头儿童速食早餐 不加水纯奶和面 (210g*2袋),20.9,粮源阁京东自营旗舰店,1600
皇士皇妃2022年秋季减龄网纱牛仔拼接连衣裙假两件洋气连衣裙 牛仔蓝 S,183.0,鸿进服饰卖场店,0
德敏舒（DEMUM）原装德国进口纸尿裤试用装独立包装 拉拉裤试用装L*2片（9-14kg）,8.0,德敏舒旗舰店,400
快乐读书吧三年级上册 3册 安徒生童话+格林童话+稻草人书 注音版一二三年级阅读课外书必读下册 拼音读物儿童故事书带拼音,19.8,北教小雨图书旗舰店,10
六神驱蚊止痒喷雾型清新花香花露水祛痱清凉水经典款户外防蚊液 驱蚊喷雾花露水180ml*1瓶,8.5,晴晴个护小店,50
VVC遮阳伞防紫外线太阳伞女卡通小清新雨伞迷你便携福猫晴雨伞 缤纷蓝,78.0,VVC旗舰店,70
FLAIROSOL 喷油瓶荷兰专利雾化喷油壶空气炸锅家用厨房控油喷雾瓶橄榄油瓶,135.0,FLAIROSOL京东自营旗舰店,3600
曼卓 手机扩容神器U盘安卓type-c多功能内存扩展四合一加密储存OTG优盘 USB车载电脑ipad 4合1多功能usb3.0闪存金属U盘【256G】,486.0,曼卓旗舰店,7
几素小风扇桌面轻音办公室桌上学生宿舍床上迷你便携式充电无线超长续航床头超薄折叠消音手持电扇台扇 【白色-2000毫安】顶配降噪I轻薄折叠,64.0,几素官方旗舰店,4000
振德（ZHENDE）疤痕膏贴医用硅酮凝胶敷料成人儿童辅助治疗抑制祛双眼皮疤术后烧伤增生疤修护 【1支】医用疤痕凝胶 20g,144.5,振德官方旗舰店,1000
MIFETU-GO安睡裤安全裤卫生巾拉拉裤安心裤女经期用裤型卫生巾日用夜用安裤 么么哒安睡裤1包（10片） 均码,9.9,mifetugo官方旗舰店,100
小鹿蓝蓝 梨膏棒棒糖 独立包装儿童零食宝宝零食 56g,13.45,小鹿蓝蓝京东自营旗舰店,400000
UZSPACE优之儿童水杯男女学生上学运动便携大容量塑料杯子tritan饮用水壶 果绿 500ml,42.0,Uzspace旗舰店,8200
果壳（Gukoo）睡衣女加厚款320g冬开衫简约珊瑚绒保暖可外穿家居服套装女D 黄色小熊套装 XS,109.0,果壳旗舰店,40
米德恩 日本小药盒分装便携式小号随身携带迷你7天薬盒密封早中晚大容量 宝石蓝【6格/5-8天】（抗菌材质）,31.06,米德恩家居官方旗舰店,400
舒可乐 抽纸巾大包家用批发5层加厚400张面巾纸餐巾纸 1包,8.6,服洒拼购店,0
海尔（Haier）465升十字对开四开双开门电冰箱家用风冷无霜一级能效变频超薄超大容量官方正品BCD-465WGHTDE9S9,2719.0,海尔京东自营旗舰店,150000
德富祥白凉粉家用果冻原料 夏日消暑自制甜品冰粉粉组合 冰粉粉 原味5袋40g共200g,7.9,德富祥旗舰店,3700
BOZhen牙线棒超细耐磨成人一次性牙签便携清洁牙垢剔牙家庭盒装口腔护理 牙线棒X 100支 1袋,4.9,尧先个护专营店,300
五和（WUHE）儿童水杯幼儿园家用直饮小孩宝宝学饮杯婴儿小学生卡通防烫耐摔 美乐蒂带盖杯 200ml,9.9,格瑞母婴专营店,1500
冰肤之萃芦荟胶淡化痘印补水舒缓晒后修护面部男女通用保湿面膜芦荟凝胶 芦荟凝胶300g,6.0,大有益个人护理专营店,1200
美的空调 新一级能效全直流变频冷暖节能空调智能除菌环绕风家用空调挂机风尊 高温制冷 防直吹 大1.5匹 一级能效 新升级 风尊二代,2998.0,美的集团官方旗舰店,14000
蔬果园（SukGarden）三合一除菌除螨去污持久留香柔顺洗衣凝珠浓缩洗衣液洗衣球家庭装 【试用装】洗衣凝珠4颗,7.9,蔬果园（SukGarden）官方旗舰店,6100
小学同步作文 一二三四五六年级上册下册写作看图说话写话 作文书教辅指导 小学生同步作文-三年级上,5.0,小脚鸭图书旗舰店,60
五谷道場非油炸方便面红烧牛肉103gx8袋装早餐泡面组合 宵夜零食懒人速食 红烧牛肉8袋装,22.9,五谷道场食品旗舰店,100
妮维雅（NIVEA）精华露小蓝管男士护肤化妆品补水保湿面部精华礼物送男朋友 水活畅透精华乳50g小蓝管-三支,204.0,妮维雅(NIVEA)旗舰店,27000
京东京造氨基酸美肌香氛沐浴露700ml 水润保湿精油养护男女通用持久留香,29.9,京东京造自营官方旗舰店,36000
超级种子SUPERSEED洗发水雪松清洁头皮洗发露控油去屑丰盈蓬松洗发液,98.1,超级种子个护京东自营旗舰店,600
捷式芥末花生100克袋装 花生特色风味香脆怪味花生豆休闲零食坚果,8.01,捷式京东自营旗舰店,2500
