商品名称,券后价,店铺名称,好评数
恒助医用棉签一次性单头木棒棉花签卫生消毒清洁医用级脱脂棉棉签AB  医用棉签500支/10包,5.9,恒助护具旗舰店,200
耐威克 六种鱼猫粮 生骨肉冻干鲜肉无谷全价 六种鱼·尝鲜装丨456g,9.9,耐威克官方旗舰店,4000
老管家防串染洗衣吸色片母婴可用衣物防串染色纸泡泡纸色母片防染巾 50片 1袋,8.9,老管家家清旗舰店,10
可复美医用皮肤液体敷料 次抛状 非面膜创面护理 TK 1.2mL×7支/袋,39.9,可复美官方旗舰店,1
和府捞面浓汤鲜煮牛肉面4袋组合装 速食面方便拉面cp 番茄浓汤面*2+草本牛肉面*2,49.0,和府捞面官方旗舰店,100
舒尔佳 奥利司他胶囊120mg*7粒 减脂减重 减肥药 塑身排油瘦身 治疗肥胖,12.9,京东大药房,160000
小宠猫维生素200片 千亿益生菌系列猫咪复合维生素片 猫用维生素AB,14.9,小宠京东自营旗舰店,1900
六品堂 幼儿园名字贴防水防撕姓名贴小学生宝宝入园准备用品儿童水杯贴纸定制学生文具一年级 50枚【楷体 】（备注宝宝姓名）,10.8,六品堂礼品旗舰店,4800
太力保鲜袋 双筋密实保鲜袋 密封加厚食品级PE密实袋 大号20个+中号30个,23.9,太力官方旗舰店,30
王家渡眉州东坡低温午餐肉儿童早餐三明治火腿片方便速食火锅烧烤食材 【团购】198g6盒（口味随机）,179.9,王家渡官方旗舰店,66000
小鹿蓝蓝维C多元果汁果冻420g 宝宝儿童零食百分百果汁果冻约21粒,19.9,小鹿蓝蓝京东自营旗舰店,200
卡蓓诺（CABELO）日本防脱育发无硅油洗护套装（男士）洗发水350ml+护发素350ml,316.0,卡蓓诺（CABELO）京东自营旗舰店,800
可漾张若昀同款原味红豆水0卡0糖无糖无脂肪运动儿童饮料350ml*6瓶 1箱装（350ml*6瓶）,24.9,可漾官方旗舰店,400
倍洁丽珍珠劲白牙膏氨基酸 亮白美缝滋养牙龈提亮牙色 进口英国原装100g,87.9,倍洁丽京东自营旗舰店,9000
润本（RUNBEN）儿童牙膏3-6-12岁含氟防蛀宝宝换牙期奥拉氟牙膏50g×2支甜橙味,13.9,润本京东自营官方旗舰店,0
惠寻软毛护龈牙刷 成人牙刷家庭装 软毛护龈牙刷 6支,3.9,惠寻口腔护理美叶专卖店,9300
海昊医用双头棉签掏耳朵采耳尖头圆头棉花棒化妆卸妆用棉棒一次性医疗药用独立罐装150支/罐 家庭款 双头【4罐】共600支,9.9,海昊宜生医疗器械旗舰店,800
清风抽纸110抽3层纸巾餐巾纸抽擦手纸实惠卫生纸面巾纸 3层 110抽 4包,17.9,芙蕖拼购店,10
APPLE苹果原装充电头iphone15套装充电器20W快充头15ProMax苹果14Plus/13/12/11iPad手机PD充电线适配器 20W充电头+闪电连接线1米（8-14系列）,139.0,联商手机通讯专营店,600
佳婴氧气森林拉拉裤超薄婴儿尿不湿男女宝宝透气弱酸亲肤成长裤 XXXL码32片全包臀拉拉裤,51.9,佳婴旗舰店,5500
好迪好迪洗发水沐浴露家庭套装 去屑柔顺持久留香水润丝滑男女通用 洗发水750ml 1瓶+沐浴露600g 2瓶,39.9,好迪官方旗舰店,200
金声动音重低音真无线耳机降噪蓝牙耳机运动蓝牙耳机蓝牙5.3芯片可给手机充电当手机支架游戏耳机三屏同显 黑色,38.79,金声动音手机通讯官方旗舰店,60
炽久小水库持久安全避孕套双重降敏头部加厚三环收紧小红套玻尿酸情趣润滑高潮热感 热感款1盒（10只）（送两性湿巾）,69.0,炽久旗舰店,600
邦迪创可贴100片强生家用创口贴苯扎氯铵贴杀菌透气无菌敷贴邦廸止血贴防磨脚贴弹性凑单常备药用于小擦伤,29.0,京东大药房,160000
雅沐思无芯卷纸整箱小卷纸巾5层加厚厕纸批发无芯卫生纸 1提12卷【竹浆】,3.9,拓尔清洁专营店,30
可漾张若昀同款1000颗红豆薏米水0卡零糖0脂薏仁饮料350ml小瓶装 2箱装（350ml*12瓶）,71.9,可漾官方旗舰店,1100
爱立方爱立方海洋盛宴冻干生骨肉 冻干猫零食营养增肥猫咪冻干猫粮小包 鸡肉冻干60g,29.0,爱立方宠物生活旗舰店,300
冷酸灵牙膏护敏固齿护敏清火益齿抗敏感牙膏薄荷味清新口气家庭装 【6支】固齿+清火+护敏,29.9,冷酸灵超乎专卖店,100
舸渡面包牛乳厚切吐司面包牛奶香面包早餐代餐网红办公室零食整箱即食 【整箱3包】厚切吐司面包,3.99,舸渡金裕专卖店,700
宝盖丁石墨烯抗菌男士内裤男纯棉内裆平角裤宽松透气大码夏季男式四角裤 【石墨烯抗菌】秀红+灰蓝+灰绿 XL,30.55,宝盖丁内衣官方旗舰店,5300
巧师傅猫山王榴莲冰皮月饼礼盒装中秋节送礼水果月饼单位采购广式月饼 猫山王榴莲冰皮月饼-4枚家庭装 1盒,54.0,巧师傅旗舰店,600
海飞丝新款持久清爽去屑750G洗发水控油滋养去油洗发水控油jtk 海洋清新两瓶装共1500g,49.9,谦佰洗护专营店,20
小鹿蓝蓝每日坚果原味150g 6种坚果宝宝零食 高蛋白百分百纯坚果10小袋,29.9,小鹿蓝蓝京东自营旗舰店,400
樱花日记组合卫生巾干爽透气日用夜用姨妈巾亲肤防漏护垫乳酸祛味少女生 3日用+1夜用+1护垫（共52片）,29.9,樱花日记旗舰店,200
"佰束毛囊清洁洗发水头屑头痒头油螨虫清洁清爽柔顺留香蓬松洗发水女男 毛囊清洁洗发水, 500ml 2瓶",19.9,尧先个护专营店,700
